race,outcome,term,estimate,std.error,statistic,p.value,lci,hci,or,or_lci,or_hci,reference,p,out
NHW,AD + MCI,"Unfavourable, e3/e3",0.31,0.06,4.78,1.7786695520476258e-6,0.18,0.43,1.36,1.2,1.54,FALSE, 1.8e-06,"OR [95% CI] = 1.36 [1.2, 1.54], p =  1.8e-06"
NHW,AD + MCI,"Unfavourable, e4+",1.46,0.07,19.77,4.906261133573736e-87,1.31,1.6,4.29,3.71,4.95,FALSE, 4.9e-87,"OR [95% CI] = 4.29 [3.71, 4.95], p =  4.9e-87"
NHW,AD + MCI,"Favourable, e2+",-0.96,0.16,-6.04,1.548487801726814e-9,-1.27,-0.65,0.38,0.28,0.52,FALSE, 1.5e-09,"OR [95% CI] = 0.38 [0.28, 0.52], p =  1.5e-09"
NHW,AD + MCI,"Favourable, e3/e3",-0.56,0.07,-7.96,1.7033371506621236e-15,-0.7,-0.42,0.57,0.5,0.66,FALSE, 1.7e-15,"OR [95% CI] = 0.57 [0.5, 0.66], p =  1.7e-15"
NHW,AD + MCI,"Favourable, e4+",0.51,0.07,7.39,1.4284325003654527e-13,0.37,0.64,1.66,1.45,1.9,FALSE, 1.4e-13,"OR [95% CI] = 1.66 [1.45, 1.9], p =  1.4e-13"
NHW,AD + MCI,"Intermediate, e2+",-0.32,0.08,-3.9,9.489516693747057e-5,-0.47,-0.16,0.73,0.62,0.85,FALSE, 9.5e-05,"OR [95% CI] = 0.73 [0.62, 0.85], p =  9.5e-05"
NHW,AD + MCI,"Intermediate, e4+",1.1,0.04,24.51,1.0892096836525118e-132,1.01,1.19,3,2.75,3.27,FALSE,< 1e-100,"OR [95% CI] = 3 [2.75, 3.27], p = < 1e-100"
Latinx,AD + MCI,"Unfavourable, e2+",0.64,0.66,0.98,0.328045466836599,-0.64,1.93,1.9,0.53,6.87,FALSE,0.32805,"OR [95% CI] = 1.9 [0.53, 6.87], p = 0.32805"
Latinx,AD + MCI,"Unfavourable, e3/e3",0.26,0.2,1.26,0.20616739149869645,-0.14,0.66,1.29,0.87,1.93,FALSE,0.20617,"OR [95% CI] = 1.29 [0.87, 1.93], p = 0.20617"
Latinx,AD + MCI,"Unfavourable, e4+",0.94,0.25,3.74,1.8686613042781354e-4,0.45,1.43,2.56,1.56,4.2,FALSE,0.00019,"OR [95% CI] = 2.56 [1.56, 4.2], p = 0.00019"
Latinx,AD + MCI,"Favourable, e2+",-0.66,0.7,-0.95,0.34415613449797694,-2.04,0.71,0.52,0.13,2.04,FALSE,0.34416,"OR [95% CI] = 0.52 [0.13, 2.04], p = 0.34416"
Latinx,AD + MCI,"Favourable, e3/e3",-0.67,0.29,-2.33,0.019635709413733198,-1.23,-0.11,0.51,0.29,0.9,FALSE,0.01964,"OR [95% CI] = 0.51 [0.29, 0.9], p = 0.01964"
Latinx,AD + MCI,"Favourable, e4+",-0.57,0.36,-1.57,0.11605722250746969,-1.27,0.14,0.57,0.28,1.15,FALSE,0.11606,"OR [95% CI] = 0.57 [0.28, 1.15], p = 0.11606"
