race,outcome,term,estimate,std.error,statistic,p.value,lci,hci,or,or_lci,or_hci,reference,p,out
Latinx,AD + MCI,"Intermediate, e4+",0.74,0.19,3.94,8.208170803475591e-5,0.37,1.11,2.1,1.45,3.03,FALSE,8.2e-05,"OR [95% CI] = 2.1 [1.45, 3.03], p = 8.2e-05"
Black,AD + MCI,"Unfavourable, e2+",0.25,0.33,0.78,0.433742784460708,-0.38,0.89,1.29,0.68,2.44,FALSE,0.43374,"OR [95% CI] = 1.29 [0.68, 2.44], p = 0.43374"
Black,AD + MCI,"Unfavourable, e3/e3",0.04,0.19,0.18,0.8555239571724972,-0.34,0.41,1.04,0.71,1.51,FALSE,0.85552,"OR [95% CI] = 1.04 [0.71, 1.51], p = 0.85552"
Black,AD + MCI,"Unfavourable, e4+",0.9,0.17,5.34,9.098441377608696e-8,0.57,1.24,2.47,1.77,3.44,FALSE,9.1e-08,"OR [95% CI] = 2.47 [1.77, 3.44], p = 9.1e-08"
Black,AD + MCI,"Favourable, e2+",-0.41,0.4,-1.02,0.3090575392031311,-1.2,0.38,0.66,0.3,1.46,FALSE,0.30906,"OR [95% CI] = 0.66 [0.3, 1.46], p = 0.30906"
Black,AD + MCI,"Favourable, e3/e3",0.13,0.25,0.5,0.6164917272338621,-0.37,0.62,1.13,0.69,1.85,FALSE,0.61649,"OR [95% CI] = 1.13 [0.69, 1.85], p = 0.61649"
Black,AD + MCI,"Favourable, e4+",0.97,0.2,4.82,1.45771605246202e-6,0.58,1.37,2.64,1.78,3.92,FALSE,1.5e-06,"OR [95% CI] = 2.64 [1.78, 3.92], p = 1.5e-06"
Black,AD + MCI,"Intermediate, e2+",-0.63,0.22,-2.81,0.0049317738588243384,-1.06,-0.19,0.53,0.34,0.83,FALSE,0.00493,"OR [95% CI] = 0.53 [0.34, 0.83], p = 0.00493"
Black,AD + MCI,"Intermediate, e4+",0.95,0.12,7.91,2.6022480273183024e-15,0.72,1.19,2.6,2.05,3.29,FALSE,2.6e-15,"OR [95% CI] = 2.6 [2.05, 3.29], p = 2.6e-15"
Asian,AD + MCI,"Unfavourable, e2+",1.61,0.83,1.94,0.052712108198195586,-0.02,3.23,4.99,0.98,25.36,FALSE,0.05271,"OR [95% CI] = 4.99 [0.98, 25.36], p = 0.05271"
Asian,AD + MCI,"Unfavourable, e3/e3",0.51,0.36,1.4,0.1626890904462098,-0.21,1.22,1.66,0.81,3.4,FALSE,0.16269,"OR [95% CI] = 1.66 [0.81, 3.4], p = 0.16269"
Asian,AD + MCI,"Unfavourable, e4+",1.3,0.56,2.32,0.02033048067519655,0.2,2.39,3.66,1.22,10.94,FALSE,0.02033,"OR [95% CI] = 3.66 [1.22, 10.94], p = 0.02033"
Asian,AD + MCI,"Favourable, e2+",-1.93,1.05,-1.83,0.06750513393814908,-3.99,0.14,0.15,0.02,1.15,FALSE,0.06751,"OR [95% CI] = 0.15 [0.02, 1.15], p = 0.06751"
Asian,AD + MCI,"Favourable, e3/e3",-1.22,0.39,-3.12,0.001782844987922349,-1.98,-0.45,0.3,0.14,0.63,FALSE,0.00178,"OR [95% CI] = 0.3 [0.14, 0.63], p = 0.00178"
Asian,AD + MCI,"Favourable, e4+",0.01,0.43,0.02,0.9862459407124409,-0.83,0.85,1.01,0.44,2.33,FALSE,0.98625,"OR [95% CI] = 1.01 [0.44, 2.33], p = 0.98625"
Asian,AD + MCI,"Intermediate, e2+",-0.7,0.39,-1.79,0.07411771224193754,-1.46,0.07,0.5,0.23,1.07,FALSE,0.07412,"OR [95% CI] = 0.5 [0.23, 1.07], p = 0.07412"
Asian,AD + MCI,"Intermediate, e4+",1.33,0.26,5.16,2.5080294616215873e-7,0.82,1.83,3.77,2.28,6.24,FALSE,2.5e-07,"OR [95% CI] = 3.77 [2.28, 6.24], p = 2.5e-07"
NHW,AD,"Unfavourable, e2+",-0.22,0.24,-0.94,0.3474266824511508,-0.68,0.24,0.8,0.5,1.27,FALSE,0.34743,"OR [95% CI] = 0.8 [0.5, 1.27], p = 0.34743"
NHW,AD,"Unfavourable, e3/e3",0.22,0.08,2.69,0.007193907450594222,0.06,0.38,1.25,1.06,1.46,FALSE,0.00719,"OR [95% CI] = 1.25 [1.06, 1.46], p = 0.00719"
NHW,AD,"Unfavourable, e4+",1.35,0.08,16.29,1.2078005551582573e-59,1.19,1.51,3.85,3.28,4.53,FALSE,1.2e-59,"OR [95% CI] = 3.85 [3.28, 4.53], p = 1.2e-59"
NHW,AD,"Favourable, e2+",-1.16,0.23,-5.14,2.691596496703801e-7,-1.61,-0.72,0.31,0.2,0.49,FALSE,2.7e-07,"OR [95% CI] = 0.31 [0.2, 0.49], p = 2.7e-07"
NHW,AD,"Favourable, e3/e3",-0.33,0.08,-3.93,8.508947708951149e-5,-0.5,-0.17,0.72,0.61,0.85,FALSE,8.5e-05,"OR [95% CI] = 0.72 [0.61, 0.85], p = 8.5e-05"
NHW,AD,"Favourable, e4+",0.96,0.08,12.05,1.9151805163897002e-33,0.81,1.12,2.62,2.24,3.07,FALSE,1.9e-33,"OR [95% CI] = 2.62 [2.24, 3.07], p = 1.9e-33"
NHW,AD,"Intermediate, e2+",-0.44,0.1,-4.17,3.0369959322544326e-5,-0.64,-0.23,0.65,0.53,0.79,FALSE,3.0e-05,"OR [95% CI] = 0.65 [0.53, 0.79], p = 3.0e-05"
NHW,AD,"Intermediate, e4+",1.22,0.05,23.88,4.757925673356094e-126,1.12,1.32,3.4,3.08,3.76,FALSE,< 1e-100,"OR [95% CI] = 3.4 [3.08, 3.76], p = < 1e-100"
Latinx,AD,"Unfavourable, e2+",0.04,0.85,0.05,0.9612679368233079,-1.62,1.71,1.04,0.2,5.51,FALSE,0.96127,"OR [95% CI] = 1.04 [0.2, 5.51], p = 0.96127"
Latinx,AD,"Unfavourable, e3/e3",0.75,0.24,3.15,0.0016153699909976975,0.28,1.21,2.11,1.33,3.36,FALSE,0.00162,"OR [95% CI] = 2.11 [1.33, 3.36], p = 0.00162"
Latinx,AD,"Unfavourable, e4+",1.53,0.27,5.7,1.2123031648324914e-8,1,2.06,4.62,2.73,7.83,FALSE,1.2e-08,"OR [95% CI] = 4.62 [2.73, 7.83], p = 1.2e-08"
Latinx,AD,"Favourable, e2+",-0.14,0.68,-0.2,0.8413695662282676,-1.47,1.19,0.87,0.23,3.3,FALSE,0.84137,"OR [95% CI] = 0.87 [0.23, 3.3], p = 0.84137"
Latinx,AD,"Favourable, e3/e3",-0.34,0.36,-0.94,0.34626257402200916,-1.03,0.36,0.72,0.36,1.44,FALSE,0.34626,"OR [95% CI] = 0.72 [0.36, 1.44], p = 0.34626"
Latinx,AD,"Favourable, e4+",0.59,0.41,1.43,0.1517523282043846,-0.22,1.41,1.81,0.8,4.08,FALSE,0.15175,"OR [95% CI] = 1.81 [0.8, 4.08], p = 0.15175"
Latinx,AD,"Intermediate, e2+",0.38,0.49,0.76,0.4446808807087741,-0.59,1.34,1.46,0.55,3.83,FALSE,0.44468,"OR [95% CI] = 1.46 [0.55, 3.83], p = 0.44468"
Latinx,AD,"Intermediate, e4+",0.9,0.22,4.05,5.2252317197597426e-5,0.46,1.34,2.46,1.59,3.81,FALSE,5.2e-05,"OR [95% CI] = 2.46 [1.59, 3.81], p = 5.2e-05"
Black,AD,"Unfavourable, e2+",0.23,0.41,0.57,0.5702806243292631,-0.57,1.04,1.26,0.56,2.84,FALSE,0.57028,"OR [95% CI] = 1.26 [0.56, 2.84], p = 0.57028"
Black,AD,"Unfavourable, e3/e3",0.36,0.22,1.63,0.10228616577536338,-0.07,0.8,1.44,0.93,2.22,FALSE,0.10229,"OR [95% CI] = 1.44 [0.93, 2.22], p = 0.10229"
Black,AD,"Unfavourable, e4+",1.11,0.2,5.57,2.4942952742816354e-8,0.72,1.5,3.03,2.05,4.48,FALSE,2.5e-08,"OR [95% CI] = 3.03 [2.05, 4.48], p = 2.5e-08"
Black,AD,"Favourable, e2+",-0.08,0.46,-0.18,0.8554794012655574,-0.98,0.82,0.92,0.37,2.26,FALSE,0.85548,"OR [95% CI] = 0.92 [0.37, 2.26], p = 0.85548"
Black,AD,"Favourable, e3/e3",0.16,0.32,0.5,0.6168395560944139,-0.47,0.79,1.17,0.63,2.19,FALSE,0.61684,"OR [95% CI] = 1.17 [0.63, 2.19], p = 0.61684"
Black,AD,"Favourable, e4+",1.31,0.23,5.63,1.786067003980821e-8,0.85,1.76,3.7,2.35,5.83,FALSE,1.8e-08,"OR [95% CI] = 3.7 [2.35, 5.83], p = 1.8e-08"
Black,AD,"Intermediate, e2+",-0.83,0.32,-2.56,0.010440273849219917,-1.46,-0.19,0.44,0.23,0.82,FALSE,0.01044,"OR [95% CI] = 0.44 [0.23, 0.82], p = 0.01044"
Black,AD,"Intermediate, e4+",1.23,0.15,8.35,6.891106199618951e-17,0.94,1.52,3.43,2.57,4.58,FALSE,6.9e-17,"OR [95% CI] = 3.43 [2.57, 4.58], p = 6.9e-17"
Asian,AD,"Unfavourable, e2+",1.08,1.02,1.06,0.28794645108682876,-0.91,3.07,2.94,0.4,21.56,FALSE,0.28795,"OR [95% CI] = 2.94 [0.4, 21.56], p = 0.28795"
Asian,AD,"Unfavourable, e3/e3",0.39,0.45,0.87,0.38617166177938295,-0.49,1.26,1.47,0.61,3.53,FALSE,0.38617,"OR [95% CI] = 1.47 [0.61, 3.53], p = 0.38617"
Asian,AD,"Unfavourable, e4+",1.26,0.63,2,0.045709868262910715,0.02,2.5,3.53,1.02,12.18,FALSE,0.04571,"OR [95% CI] = 3.53 [1.02, 12.18], p = 0.04571"
Asian,AD,"Favourable, e2+",-15.46,722.82,-0.02,0.9829357115357623,-1432.18,1401.26,0,0,Inf,FALSE,0.98294,"OR [95% CI] = 0 [0, Inf], p = 0.98294"
